,file_id,child_id,age_months,tokens,pos,speaker
54,2765,2454,27,that 's a tape+recorder do you know what that is ?,pro:dem det:art v pro:per v pro:int pro:dem cop,Investigator
55,2765,2454,27,yeah .,co,Target_Child
56,2765,2454,27,what is it ?,pro:int aux pro:per,Investigator
57,2765,2454,27,xxx .,,Target_Child
58,2765,2454,27,what 's that ?,pro:int pro:dem,Target_Child
59,2765,2454,27,what 's that ?,pro:int pro:dem,Target_Child
60,2765,2454,27,that 's a tape+recorder do you know what a tape+recorder is ?,pro:dem det:art mod pro:per v pro:int det:art aux,Investigator
61,2765,2454,27,yeah .,co,Target_Child
62,2765,2454,27,what is it ?,pro:int aux pro:per,Investigator
63,2765,2454,27,xxx .,,Target_Child
64,2765,2454,27,it 's a xxx .,pro:per det:art,Target_Child
65,2765,2454,27,it taperecords your voice it 's making a recording of your voice .,pro:per det:poss n pro:per part det:art part prep det:poss n,Investigator
66,2765,2454,27,that 's my toy .,pro:dem det:poss n,Investigator
67,2765,2454,27,uhoh !,co,Target_Child
68,2765,2454,27,Shem was holding it funny .,n:prop aux part pro:per adj,Investigator
69,2765,2454,27,uhoh .,co,Target_Child
70,2765,2454,27,what are you holding ?,pro:int aux pro:per part,Investigator
71,2765,2454,27,what are you holding ?,pro:int aux pro:per part,Investigator
72,2765,2454,27,a cookie ?,det:art n,Target_Child
73,2765,2454,27,a cookie you want some juice ?,det:art n pro:per v qn n,Investigator
74,2765,2454,27,I want some more .,pro:sub v qn pro:indef,Target_Child
75,2765,2454,27,you want some more ?,pro:per v qn pro:indef,Investigator
76,2765,2454,27,you want some more of this ?,pro:per v qn qn prep pro:dem,Investigator
77,2765,2454,27,yeah .,co,Target_Child
78,2765,2454,27,what are these ?,pro:int aux pro:dem,Investigator
79,2765,2454,27,crackers .,n,Target_Child
80,2765,2454,27,more crackers .,qn n,Investigator
81,2765,2454,27,uhoh .,co,Target_Child
82,2765,2454,27,little bit of cracker .,adj n prep n,Target_Child
83,2765,2454,27,what 's this called ?,pro:int pro:dem part,Investigator
84,2765,2454,27,what 'd you just do ?,pro:int pro:per adv v,Investigator
85,2765,2454,27,I made a bup .,pro:sub v det:art chi,Target_Child
86,2765,2454,27,just bup ?,adv chi,Investigator
87,2765,2454,27,Shem what are you doing to that cracker ?,n:prop pro:int aux pro:per part prep pro:dem n,Investigator
88,2765,2454,27,Shem what are you doing to that cracker ?,n:prop pro:int aux pro:per part prep pro:dem n,Investigator
89,2765,2454,27,hop .,n,Target_Child
90,2765,2454,27,hop ?,n,Investigator
91,2765,2454,27,mommy !,n,Target_Child
92,2765,2454,27,mommy ?,n,Investigator
93,2765,2454,27,what 's that ?,pro:int pro:dem,Target_Child
94,2765,2454,27,tape+recorder .,,Investigator
95,2765,2454,27,kakeeeporper .,wplay,Target_Child
96,2765,2454,27,good that 's good tape+recorder .,adj pro:dem adj,Investigator
97,2765,2454,27,xxx little baby again uhoh .,adj n adv co,Target_Child
98,2765,2454,27,what 'd I just do to the cracker ?,pro:int pro:sub adv v prep det:art n,Investigator
99,2765,2454,27,what did I do to the cracker ?,pro:int mod pro:sub v prep det:art n,Investigator
