,Unnamed: 0,Unnamed: 0.1,source,target,fraction,source_description,target_description,contingency
30,30,122,ST,RT,0.116928446771379,Make a declarative statement.,Repeat or imitate other's utterance.,1
31,31,125,ST,ST,0.183246073298429,Make a declarative statement.,Make a declarative statement.,1
32,32,128,ST,YY,0.277486910994764,Make a declarative statement.,Make a word-like utterance without clear function.,0
33,33,129,YA,AA,0.5,Answer a question with a yes/no question.,Answer in the affirmative to yes/no question.,1
34,34,130,YA,AN,0.083333333333333,Answer a question with a yes/no question.,Answer in the negative to yes/no question,1
35,35,133,YA,RT,0.083333333333333,Answer a question with a yes/no question.,Repeat or imitate other's utterance.,0
36,36,137,YA,YY,0.125,Answer a question with a yes/no question.,Make a word-like utterance without clear function.,0
37,37,138,YQ,AA,0.393483709273183,Ask a yes/no question.,Answer in the affirmative to yes/no question.,1
38,38,141,YQ,AN,0.067669172932331,Ask a yes/no question.,Answer in the negative to yes/no question,1
39,39,150,YQ,RP,0.052631578947369,Ask a yes/no question.,Request propose or suggest an action for hearer or for hearer and speaker.,0
40,40,155,YQ,ST,0.057644110275689,Ask a yes/no question.,Make a declarative statement.,0
41,41,159,YQ,YY,0.228070175438596,Ask a yes/no question.,Make a word-like utterance without clear function.,0
42,42,160,AA,AC,0.071428571428572,Answer in the affirmative to yes/no question.,Answer calls/ show attentiveness to communications.,1
43,43,161,AA,CL,0.071428571428572,Answer in the affirmative to yes/no question.,Call attention to hearer by name or by substitute exclamations,0
44,44,162,AA,MK,0.071428571428572,Answer in the affirmative to yes/no question.,Mark occurrence of event (thank greet apologize congratulate etc.).,1
45,45,163,AA,OO,0.071428571428572,Answer in the affirmative to yes/no question.,Unintelligible vocalization.,0
46,46,164,AA,PF,0.071428571428572,Answer in the affirmative to yes/no question.,Prohibit/forbid/protest hearer's performance of an act,1
47,47,165,AA,RR,0.285714285714286,Answer in the affirmative to yes/no question.,Request to repeat utterance.,1
48,48,166,AA,ST,0.071428571428572,Answer in the affirmative to yes/no question.,Make a declarative statement.,1
49,49,167,AA,YQ,0.071428571428572,Answer in the affirmative to yes/no question.,Ask a yes/no question.,1
50,50,168,AA,YY,0.214285714285714,Answer in the affirmative to yes/no question.,Make a word-like utterance without clear function.,0
51,51,175,AD,OO,0.061224489795918,Agree to carry out an act requested or proposed by other.,Unintelligible vocalization.,0
52,52,178,AD,RP,0.183673469387755,Agree to carry out an act requested or proposed by other.,Request propose or suggest an action for hearer or for hearer and speaker.,1
53,53,179,AD,SI,0.163265306122449,Agree to carry out an act requested or proposed by other.,State intent to carry out act by speaker.,1
54,54,180,AD,ST,0.102040816326531,Agree to carry out an act requested or proposed by other.,Make a declarative statement.,1
55,55,181,AD,YY,0.306122448979592,Agree to carry out an act requested or proposed by other.,Make a word-like utterance without clear function.,0
56,56,182,CL,AC,0.060606060606061,Call attention to hearer by name or by substitute exclamations,Answer calls/ show attentiveness to communications.,1
57,57,184,CL,PF,0.121212121212121,Call attention to hearer by name or by substitute exclamations,Prohibit/forbid/protest hearer's performance of an act,1
58,58,186,CL,RD,0.121212121212121,Call attention to hearer by name or by substitute exclamations,Refuse to carry out an act requested or proposed by other.,1
59,59,187,CL,RP,0.060606060606061,Call attention to hearer by name or by substitute exclamations,Request propose or suggest an action for hearer or for hearer and speaker.,1
60,60,191,CL,ST,0.060606060606061,Call attention to hearer by name or by substitute exclamations,Make a declarative statement.,1
61,61,193,CL,YY,0.393939393939394,Call attention to hearer by name or by substitute exclamations,Make a word-like utterance without clear function.,0
62,62,204,CT,RT,0.453488372093023,Correct provide correct verbal form in place of erroneous one.,Repeat or imitate other's utterance.,1
63,63,205,CT,ST,0.174418604651163,Correct provide correct verbal form in place of erroneous one.,Make a declarative statement.,1
64,64,207,CT,YY,0.13953488372093,Correct provide correct verbal form in place of erroneous one.,Make a word-like utterance without clear function.,0
65,65,214,SA,QN,0.142857142857143,Answer a wh-question with a statement.,Ask a product-question (wh-question),1
66,66,215,SA,RP,0.061224489795918,Answer a wh-question with a statement.,Request propose or suggest an action for hearer or for hearer and speaker.,1
67,67,216,SA,RT,0.26530612244898,Answer a wh-question with a statement.,Repeat or imitate other's utterance.,1
68,68,219,SA,ST,0.081632653061225,Answer a wh-question with a statement.,Make a declarative statement.,1
69,69,222,SA,YY,0.204081632653061,Answer a wh-question with a statement.,Make a word-like utterance without clear function.,0
70,70,223,SS,AC,0.162162162162162,Signal to start performing an act such as running or rolling a ball,Answer calls/ show attentiveness to communications.,1
71,71,228,SS,RD,0.135135135135135,Signal to start performing an act such as running or rolling a ball,Refuse to carry out an act requested or proposed by other.,1
72,72,230,SS,ST,0.108108108108108,Signal to start performing an act such as running or rolling a ball,Make a declarative statement.,0
73,73,232,SS,YY,0.432432432432432,Signal to start performing an act such as running or rolling a ball,Make a word-like utterance without clear function.,0
74,74,234,TX,PR,0.071428571428572,Read or recite written text aloud.,Perform verbal move in game.,1
75,75,237,TX,RT,0.142857142857143,Read or recite written text aloud.,Repeat or imitate other's utterance.,1
76,76,239,TX,ST,0.25,Read or recite written text aloud.,Make a declarative statement.,1
77,77,241,TX,YY,0.357142857142857,Read or recite written text aloud.,Make a word-like utterance without clear function.,0
78,78,242,EQ,AD,0.058823529411765,Eliciting question (e.g. hmm?).,Agree to carry out an act requested or proposed by other.,0
79,79,243,EQ,CL,0.058823529411765,Eliciting question (e.g. hmm?).,Call attention to hearer by name or by substitute exclamations,1
80,80,244,EQ,MK,0.058823529411765,Eliciting question (e.g. hmm?).,Mark occurrence of event (thank greet apologize congratulate etc.).,1
81,81,245,EQ,PF,0.058823529411765,Eliciting question (e.g. hmm?).,Prohibit/forbid/protest hearer's performance of an act,0
82,82,246,EQ,QN,0.058823529411765,Eliciting question (e.g. hmm?).,Ask a product-question (wh-question),1
83,83,247,EQ,RD,0.058823529411765,Eliciting question (e.g. hmm?).,Refuse to carry out an act requested or proposed by other.,1
84,84,248,EQ,RP,0.117647058823529,Eliciting question (e.g. hmm?).,Request propose or suggest an action for hearer or for hearer and speaker.,1
85,85,249,EQ,SA,0.058823529411765,Eliciting question (e.g. hmm?).,Answer a wh-question with a statement.,1
86,86,250,EQ,SI,0.058823529411765,Eliciting question (e.g. hmm?).,State intent to carry out act by speaker.,1
87,87,251,EQ,ST,0.117647058823529,Eliciting question (e.g. hmm?).,Make a declarative statement.,1
88,88,252,EQ,YY,0.294117647058824,Eliciting question (e.g. hmm?).,Make a word-like utterance without clear function.,0
89,89,255,OO,OO,0.12,Unintelligible vocalization.,Unintelligible vocalization.,0
90,90,258,OO,RD,0.08,Unintelligible vocalization.,Refuse to carry out an act requested or proposed by other.,0
91,91,259,OO,RP,0.16,Unintelligible vocalization.,Request propose or suggest an action for hearer or for hearer and speaker.,0
92,92,261,OO,SI,0.08,Unintelligible vocalization.,State intent to carry out act by speaker.,0
93,93,262,OO,ST,0.08,Unintelligible vocalization.,Make a declarative statement.,0
94,94,264,OO,YY,0.24,Unintelligible vocalization.,Make a word-like utterance without clear function.,0
95,95,271,RR,RP,0.072463768115942,Request to repeat utterance.,Request propose or suggest an action for hearer or for hearer and speaker.,0
96,96,273,RR,SA,0.072463768115942,Request to repeat utterance.,Answer a wh-question with a statement.,0
97,97,275,RR,ST,0.188405797101449,Request to repeat utterance.,Make a declarative statement.,0
98,98,278,RR,YY,0.449275362318841,Request to repeat utterance.,Make a word-like utterance without clear function.,0
99,99,281,RT,OO,0.111111111111111,Repeat or imitate other's utterance.,Unintelligible vocalization.,0
100,100,282,RT,PR,0.111111111111111,Repeat or imitate other's utterance.,Perform verbal move in game.,1
101,101,284,RT,RP,0.074074074074074,Repeat or imitate other's utterance.,Request propose or suggest an action for hearer or for hearer and speaker.,1
102,102,285,RT,RT,0.111111111111111,Repeat or imitate other's utterance.,Repeat or imitate other's utterance.,1
103,103,286,RT,SI,0.074074074074074,Repeat or imitate other's utterance.,State intent to carry out act by speaker.,1
104,104,287,RT,ST,0.222222222222222,Repeat or imitate other's utterance.,Make a declarative statement.,1
105,105,289,RT,YY,0.148148148148148,Repeat or imitate other's utterance.,Make a word-like utterance without clear function.,0
106,106,296,SI,PF,0.083333333333333,State intent to carry out act by speaker.,Prohibit/forbid/protest hearer's performance of an act,1
107,107,299,SI,RP,0.138888888888889,State intent to carry out act by speaker.,Request propose or suggest an action for hearer or for hearer and speaker.,0
108,108,300,SI,RT,0.125,State intent to carry out act by speaker.,Repeat or imitate other's utterance.,0
109,109,302,SI,ST,0.083333333333333,State intent to carry out act by speaker.,Make a declarative statement.,1
110,110,304,SI,YY,0.319444444444444,State intent to carry out act by speaker.,Make a word-like utterance without clear function.,0
111,111,315,AP,RT,0.077464788732394,Agree with proposition or proposal expressed by previous speaker,Repeat or imitate other's utterance.,0
112,112,318,AP,ST,0.422535211267606,Agree with proposition or proposal expressed by previous speaker,Make a declarative statement.,0
113,113,321,AP,YY,0.21830985915493,Agree with proposition or proposal expressed by previous speaker,Make a word-like utterance without clear function.,0
114,114,329,PR,PR,0.153846153846154,Perform verbal move in game.,Perform verbal move in game.,1
115,115,332,PR,RP,0.083916083916084,Perform verbal move in game.,Request propose or suggest an action for hearer or for hearer and speaker.,1
116,116,333,PR,RT,0.090909090909091,Perform verbal move in game.,Repeat or imitate other's utterance.,1
117,117,338,PR,YY,0.412587412587413,Perform verbal move in game.,Make a word-like utterance without clear function.,0
118,118,341,AC,OO,0.061224489795918,Answer calls/ show attentiveness to communications.,Unintelligible vocalization.,0
119,119,345,AC,RP,0.091836734693878,Answer calls/ show attentiveness to communications.,Request propose or suggest an action for hearer or for hearer and speaker.,1
120,120,348,AC,ST,0.295918367346939,Answer calls/ show attentiveness to communications.,Make a declarative statement.,1
121,121,350,AC,YY,0.357142857142857,Answer calls/ show attentiveness to communications.,Make a word-like utterance without clear function.,0
122,122,351,DC,CL,0.083333333333333,Create a new state of affairs by declaration,Call attention to hearer by name or by substitute exclamations,0
123,123,352,DC,CS,0.083333333333333,Create a new state of affairs by declaration,Counter-suggestion/ an indirect refusal.,1
124,124,353,DC,MK,0.083333333333333,Create a new state of affairs by declaration,Mark occurrence of event (thank greet apologize congratulate etc.).,1
125,125,354,DC,ND,0.083333333333333,Create a new state of affairs by declaration,Disagree with a declaration.,1
126,126,355,DC,PF,0.083333333333333,Create a new state of affairs by declaration,Prohibit/forbid/protest hearer's performance of an act,0
127,127,356,DC,PR,0.083333333333333,Create a new state of affairs by declaration,Perform verbal move in game.,0
128,128,357,DC,RP,0.083333333333333,Create a new state of affairs by declaration,Request propose or suggest an action for hearer or for hearer and speaker.,1
129,129,358,DC,RT,0.083333333333333,Create a new state of affairs by declaration,Repeat or imitate other's utterance.,1
130,130,359,DC,TO,0.083333333333333,Create a new state of affairs by declaration,Mark transfer of object to hearer,1
131,131,360,DC,YY,0.25,Create a new state of affairs by declaration,Make a word-like utterance without clear function.,0
132,132,364,EI,RT,0.580645161290323,Elicit imitation of word or sentence by modelling or by explicit command,Repeat or imitate other's utterance.,1
133,133,366,EI,ST,0.161290322580645,Elicit imitation of word or sentence by modelling or by explicit command,Make a declarative statement.,0
134,134,367,EI,YY,0.129032258064516,Elicit imitation of word or sentence by modelling or by explicit command,Make a word-like utterance without clear function.,0
135,135,368,GI,CL,0.2,Give in/ accept other's insistence or refusal.,Call attention to hearer by name or by substitute exclamations,1
136,136,369,GI,RD,0.2,Give in/ accept other's insistence or refusal.,Refuse to carry out an act requested or proposed by other.,0
137,137,370,GI,RP,0.1,Give in/ accept other's insistence or refusal.,Request propose or suggest an action for hearer or for hearer and speaker.,1
138,138,371,GI,ST,0.3,Give in/ accept other's insistence or refusal.,Make a declarative statement.,1
139,139,372,GI,YY,0.2,Give in/ accept other's insistence or refusal.,Make a word-like utterance without clear function.,0
140,140,373,GR,CL,0.176470588235294,Give reason/ justify a request for an action refusal or prohibition,Call attention to hearer by name or by substitute exclamations,0
141,141,374,GR,OO,0.058823529411765,Give reason/ justify a request for an action refusal or prohibition,Unintelligible vocalization.,0
142,142,375,GR,PF,0.235294117647059,Give reason/ justify a request for an action refusal or prohibition,Prohibit/forbid/protest hearer's performance of an act,0
143,143,376,GR,QN,0.058823529411765,Give reason/ justify a request for an action refusal or prohibition,Ask a product-question (wh-question),1
144,144,377,GR,RD,0.117647058823529,Give reason/ justify a request for an action refusal or prohibition,Refuse to carry out an act requested or proposed by other.,0
145,145,378,GR,RP,0.117647058823529,Give reason/ justify a request for an action refusal or prohibition,Request propose or suggest an action for hearer or for hearer and speaker.,1
146,146,379,GR,ST,0.058823529411765,Give reason/ justify a request for an action refusal or prohibition,Make a declarative statement.,1
147,147,380,GR,YY,0.176470588235294,Give reason/ justify a request for an action refusal or prohibition,Make a word-like utterance without clear function.,0
148,148,387,PF,PF,0.155172413793103,Prohibit/forbid/protest hearer's performance of an act,Prohibit/forbid/protest hearer's performance of an act,0
149,149,389,PF,RD,0.051724137931035,Prohibit/forbid/protest hearer's performance of an act,Refuse to carry out an act requested or proposed by other.,0
150,150,390,PF,RP,0.120689655172414,Prohibit/forbid/protest hearer's performance of an act,Request propose or suggest an action for hearer or for hearer and speaker.,1
151,151,391,PF,RT,0.068965517241379,Prohibit/forbid/protest hearer's performance of an act,Repeat or imitate other's utterance.,1
152,152,393,PF,ST,0.137931034482759,Prohibit/forbid/protest hearer's performance of an act,Make a declarative statement.,1
153,153,394,PF,YY,0.310344827586207,Prohibit/forbid/protest hearer's performance of an act,Make a word-like utterance without clear function.,0
154,154,395,PM,CL,0.055555555555556,Praise for motor acts i.e for nonverbal behavior.,Call attention to hearer by name or by substitute exclamations,1
155,155,398,PM,MK,0.083333333333333,Praise for motor acts i.e for nonverbal behavior.,Mark occurrence of event (thank greet apologize congratulate etc.).,1
156,156,399,PM,OO,0.055555555555556,Praise for motor acts i.e for nonverbal behavior.,Unintelligible vocalization.,0
157,157,402,PM,RP,0.055555555555556,Praise for motor acts i.e for nonverbal behavior.,Request propose or suggest an action for hearer or for hearer and speaker.,1
158,158,404,PM,SI,0.083333333333333,Praise for motor acts i.e for nonverbal behavior.,State intent to carry out act by speaker.,1
159,159,405,PM,ST,0.138888888888889,Praise for motor acts i.e for nonverbal behavior.,Make a declarative statement.,1
160,160,407,PM,YY,0.361111111111111,Praise for motor acts i.e for nonverbal behavior.,Make a word-like utterance without clear function.,0
161,161,408,WD,CL,0.285714285714286,Warn of danger.,Call attention to hearer by name or by substitute exclamations,1
162,162,409,WD,RP,0.142857142857143,Warn of danger.,Request propose or suggest an action for hearer or for hearer and speaker.,1
163,163,410,WD,RT,0.142857142857143,Warn of danger.,Repeat or imitate other's utterance.,1
164,164,411,WD,YY,0.428571428571429,Warn of danger.,Make a word-like utterance without clear function.,0
165,165,417,YY,SI,0.090909090909091,Make a word-like utterance without clear function.,State intent to carry out act by speaker.,0
166,166,418,YY,ST,0.159090909090909,Make a word-like utterance without clear function.,Make a declarative statement.,0
167,167,420,YY,YY,0.545454545454545,Make a word-like utterance without clear function.,Make a word-like utterance without clear function.,0
168,168,421,CS,CS,0.416666666666667,Counter-suggestion/ an indirect refusal.,Counter-suggestion/ an indirect refusal.,1
169,169,422,CS,OO,0.083333333333333,Counter-suggestion/ an indirect refusal.,Unintelligible vocalization.,0
170,170,423,CS,RD,0.25,Counter-suggestion/ an indirect refusal.,Refuse to carry out an act requested or proposed by other.,0
171,171,424,CS,RP,0.083333333333333,Counter-suggestion/ an indirect refusal.,Request propose or suggest an action for hearer or for hearer and speaker.,0
172,172,425,CS,ST,0.083333333333333,Counter-suggestion/ an indirect refusal.,Make a declarative statement.,1
173,173,426,CS,YY,0.083333333333333,Counter-suggestion/ an indirect refusal.,Make a word-like utterance without clear function.,0
174,174,430,FP,PA,0.347826086956522,Ask for permission to carry out act.,Permit hearer to perform act.,1
175,175,431,FP,PF,0.260869565217391,Ask for permission to carry out act.,Prohibit/forbid/protest hearer's performance of an act,1
176,176,432,FP,RD,0.130434782608696,Ask for permission to carry out act.,Refuse to carry out an act requested or proposed by other.,1
177,177,434,FP,YY,0.086956521739131,Ask for permission to carry out act.,Make a word-like utterance without clear function.,0
178,178,435,RD,CS,0.166666666666667,Refuse to carry out an act requested or proposed by other.,Counter-suggestion/ an indirect refusal.,0
179,179,436,RD,PF,0.083333333333333,Refuse to carry out an act requested or proposed by other.,Prohibit/forbid/protest hearer's performance of an act,1
180,180,437,RD,RD,0.083333333333333,Refuse to carry out an act requested or proposed by other.,Refuse to carry out an act requested or proposed by other.,0
181,181,438,RD,RP,0.25,Refuse to carry out an act requested or proposed by other.,Request propose or suggest an action for hearer or for hearer and speaker.,1
182,182,439,RD,SI,0.083333333333333,Refuse to carry out an act requested or proposed by other.,State intent to carry out act by speaker.,1
183,183,440,RD,TO,0.333333333333333,Refuse to carry out an act requested or proposed by other.,Mark transfer of object to hearer,1
184,184,441,TO,CS,0.0625,Mark transfer of object to hearer,Counter-suggestion/ an indirect refusal.,0
185,185,442,TO,MK,0.0625,Mark transfer of object to hearer,Mark occurrence of event (thank greet apologize congratulate etc.).,1
186,186,443,TO,RD,0.25,Mark transfer of object to hearer,Refuse to carry out an act requested or proposed by other.,0
187,187,444,TO,RT,0.0625,Mark transfer of object to hearer,Repeat or imitate other's utterance.,1
188,188,445,TO,SI,0.0625,Mark transfer of object to hearer,State intent to carry out act by speaker.,1
189,189,446,TO,ST,0.0625,Mark transfer of object to hearer,Make a declarative statement.,1
190,190,447,TO,YY,0.4375,Mark transfer of object to hearer,Make a word-like utterance without clear function.,0
191,191,449,AB,MK,0.076923076923077,Approve of appropriate behavior.,Mark occurrence of event (thank greet apologize congratulate etc.).,1
192,192,450,AB,OO,0.115384615384615,Approve of appropriate behavior.,Unintelligible vocalization.,0
193,193,451,AB,QN,0.076923076923077,Approve of appropriate behavior.,Ask a product-question (wh-question),1
194,194,452,AB,RP,0.153846153846154,Approve of appropriate behavior.,Request propose or suggest an action for hearer or for hearer and speaker.,1
195,195,455,AB,ST,0.076923076923077,Approve of appropriate behavior.,Make a declarative statement.,1
196,196,457,AB,YY,0.346153846153846,Approve of appropriate behavior.,Make a word-like utterance without clear function.,0
197,197,458,DS,DC,0.142857142857143,Disapprove scold protest disruptive behavior.,Create a new state of affairs by declaration,1
198,198,459,DS,MK,0.142857142857143,Disapprove scold protest disruptive behavior.,Mark occurrence of event (thank greet apologize congratulate etc.).,1
199,199,460,DS,OO,0.142857142857143,Disapprove scold protest disruptive behavior.,Unintelligible vocalization.,0
200,200,461,DS,PF,0.142857142857143,Disapprove scold protest disruptive behavior.,Prohibit/forbid/protest hearer's performance of an act,0
201,201,462,DS,ST,0.142857142857143,Disapprove scold protest disruptive behavior.,Make a declarative statement.,1
202,202,463,DS,YY,0.285714285714286,Disapprove scold protest disruptive behavior.,Make a word-like utterance without clear function.,0
203,203,464,ET,DC,0.052631578947369,Express enthusiasm for hearer's performance.,Create a new state of affairs by declaration,1
204,204,465,ET,ET,0.052631578947369,Express enthusiasm for hearer's performance.,Express enthusiasm for hearer's performance.,1
205,205,466,ET,RP,0.210526315789474,Express enthusiasm for hearer's performance.,Request propose or suggest an action for hearer or for hearer and speaker.,1
206,206,467,ET,SI,0.157894736842105,Express enthusiasm for hearer's performance.,State intent to carry out act by speaker.,1
207,207,468,ET,ST,0.105263157894737,Express enthusiasm for hearer's performance.,Make a declarative statement.,1
208,208,469,ET,YY,0.421052631578947,Express enthusiasm for hearer's performance.,Make a word-like utterance without clear function.,0
209,209,472,EA,PR,0.703703703703704,Elicit onomatopoeic or animal sounds.,Perform verbal move in game.,1
210,210,478,EA,ST,0.061728395061728,Elicit onomatopoeic or animal sounds.,Make a declarative statement.,1
211,211,479,EA,YY,0.123456790123457,Elicit onomatopoeic or animal sounds.,Make a word-like utterance without clear function.,0
212,212,480,PD,MK,0.181818181818182,Promise.,Mark occurrence of event (thank greet apologize congratulate etc.).,1
213,213,481,PD,OO,0.090909090909091,Promise.,Unintelligible vocalization.,0
214,214,482,PD,PR,0.090909090909091,Promise.,Perform verbal move in game.,1
215,215,483,PD,RP,0.454545454545454,Promise.,Request propose or suggest an action for hearer or for hearer and speaker.,1
216,216,484,PD,ST,0.090909090909091,Promise.,Make a declarative statement.,1
217,217,485,PD,YY,0.090909090909091,Promise.,Make a word-like utterance without clear function.,0
218,218,486,EC,OO,0.142857142857143,Elicit completion of word or sentence.,Unintelligible vocalization.,0
219,219,487,EC,SC,0.857142857142857,Elicit completion of word or sentence.,Complete statement or other utterance in compliance with request.,1
220,220,488,XA,OO,0.125,Exhibit attentiveness to hearer.,Unintelligible vocalization.,0
221,221,489,XA,RP,0.125,Exhibit attentiveness to hearer.,Request propose or suggest an action for hearer or for hearer and speaker.,1
222,222,490,XA,SI,0.25,Exhibit attentiveness to hearer.,State intent to carry out act by speaker.,1
223,223,491,XA,YY,0.5,Exhibit attentiveness to hearer.,Make a word-like utterance without clear function.,0
224,224,492,CM,PF,0.333333333333333,Commiserate express sympathy for hearer's distress.,Prohibit/forbid/protest hearer's performance of an act,0
225,225,493,CM,RT,0.333333333333333,Commiserate express sympathy for hearer's distress.,Repeat or imitate other's utterance.,1
226,226,494,CM,YY,0.333333333333333,Commiserate express sympathy for hearer's distress.,Make a word-like utterance without clear function.,0
227,227,495,AL,RP,0.5,Agree to do something for the last time.,Request propose or suggest an action for hearer or for hearer and speaker.,1
228,228,496,AL,RT,0.5,Agree to do something for the last time.,Repeat or imitate other's utterance.,0
229,229,497,PA,RP,0.25,Permit hearer to perform act.,Request propose or suggest an action for hearer or for hearer and speaker.,1
230,230,498,PA,RR,0.125,Permit hearer to perform act.,Request to repeat utterance.,1
231,231,499,PA,SI,0.125,Permit hearer to perform act.,State intent to carry out act by speaker.,1
232,232,500,PA,ST,0.125,Permit hearer to perform act.,Make a declarative statement.,1
233,233,501,PA,YY,0.375,Permit hearer to perform act.,Make a word-like utterance without clear function.,0
234,234,502,YD,RP,0.666666666666667,Agree to a declaration.,Request propose or suggest an action for hearer or for hearer and speaker.,1
235,235,503,YD,SI,0.333333333333333,Agree to a declaration.,State intent to carry out act by speaker.,1
236,236,504,CR,RR,0.285714285714286,Criticize or point out error in nonverbal act.,Request to repeat utterance.,1
237,237,505,CR,RT,0.142857142857143,Criticize or point out error in nonverbal act.,Repeat or imitate other's utterance.,0
238,238,506,CR,SI,0.142857142857143,Criticize or point out error in nonverbal act.,State intent to carry out act by speaker.,1
239,239,507,CR,YY,0.428571428571429,Criticize or point out error in nonverbal act.,Make a word-like utterance without clear function.,0
240,240,508,AN,SI,0.222222222222222,Answer in the negative to yes/no question,State intent to carry out act by speaker.,1
241,241,509,AN,ST,0.222222222222222,Answer in the negative to yes/no question,Make a declarative statement.,1
242,242,510,AN,YA,0.111111111111111,Answer in the negative to yes/no question,Answer a question with a yes/no question.,0
243,243,511,AN,YQ,0.333333333333333,Answer in the negative to yes/no question,Ask a yes/no question.,1
244,244,512,AN,YY,0.111111111111111,Answer in the negative to yes/no question,Make a word-like utterance without clear function.,0
245,245,513,TQ,TA,0.5,Ask a limited-alternative yes/no question.,Answer a limited-alternative question.,1
246,246,514,TQ,YY,0.5,Ask a limited-alternative yes/no question.,Make a word-like utterance without clear function.,0
247,247,515,DP,TO,1,Declare make-believe reality.,Mark transfer of object to hearer,1
248,248,516,CN,YY,1,Count.,Make a word-like utterance without clear function.,0
249,249,517,ED,YY,1,Exclaim in disapproval.,Make a word-like utterance without clear function.,0
